Ticker,D_Date,D_Final_Decision,D_Final_Decision_Reason,D_Action_Status,D_Score,D_Entry_Timing_Status,D_Classification_Reason,D_Close,D_1H_Bars,D_4H_Bars,D_Intraday_Data_Status,D1_Date,D1_Open,D1_Close,D1_Final_Decision,D1_Final_Decision_Reason,D1_Action_Status,D1_Score,D1_1H_Bars,D1_4H_Bars,D1_Intraday_Data_Status,D2_Date,D2_Open,D2_Close,D2_Final_Decision,D2_Final_Decision_Reason,D2_Action_Status,D2_Score,D2_1H_Bars,D2_4H_Bars,D2_Intraday_Data_Status,Continuation_By_D2,Validation_Result,Validation_Note,Status_String_Check,Reason_String_Check,Daily_Replay_Limitation
ACA,2026-02-10,MOMENTUM_ACTIVE,all confirmation gates passed,Actionable Momentum Candidate,100,Clean,,128.1699981689453,11,4,OK,2026-02-11,129.47999572753906,127.83999633789062,MOMENTUM_PRESENT_WAIT_CONFIRMATION,relative volume below 1.0x | close location below 50.0%,Actionable Momentum Candidate,100,11,4,OK,2026-02-12,129.41000366210938,126.72000122070312,MOMENTUM_PRESENT_WAIT_CONFIRMATION,relative volume below 1.0x | close location below 50.0%,Actionable Momentum Candidate,100,10,3,OK,True,PASS,Active momentum requires D+1/D+2 continuation above D close.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
CSX,2026-02-10,MOMENTUM_PRESENT_WAIT_CONFIRMATION,relative volume below 1.0x,Actionable Momentum Candidate,100,Clean,pullback on above-average volume,40.900001525878906,13,5,OK,2026-02-11,40.93000030517578,41.34000015258789,MOMENTUM_ACTIVE,all confirmation gates passed,Actionable Momentum Candidate,100,14,5,OK,2026-02-12,41.54999923706055,40.70000076293945,MOMENTUM_PRESENT_WAIT_CONFIRMATION,pullback on above-average volume | 2+ bearish hourly candles | last 1H bearish,Downgraded - Wait,69,13,5,OK,True,OBSERVE_CONTINUED,Momentum is present but not active; continuation is observed but not required.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
FVR,2026-02-10,MOMENTUM_PRESENT_WAIT_CONFIRMATION,average dollar volume below 5000000,Actionable Momentum Candidate,100,Clean,,16.68000030517578,8,3,OK,2026-02-11,16.75,16.389999389648438,MOMENTUM_PRESENT_WAIT_CONFIRMATION,relative volume below 1.0x | close location below 50.0% | average dollar volume below 5000000,Actionable Momentum Candidate,100,10,3,OK,2026-02-12,16.549999237060547,15.850000381469727,MOMENTUM_PRESENT_WAIT_CONFIRMATION,below EMA20 with early 20D-high pullback | lower high and lower low | daily distribution | daily distribution below EMA20,Downgraded - Wait,69,9,3,OK,True,OBSERVE_CONTINUED,Momentum is present but not active; continuation is observed but not required.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
VMD,2026-02-10,MOMENTUM_PRESENT_WAIT_CONFIRMATION,RS excess below 5.0% | close location below 50.0% | average dollar volume below 5000000,Actionable Momentum Candidate,87,Clean,lower high and lower low | pullback on above-average volume,8.289999961853027,10,4,OK,2026-02-11,8.279999732971191,8.449999809265137,MOMENTUM_PRESENT_WAIT_CONFIRMATION,average dollar volume below 5000000,Actionable Momentum Candidate,99,10,4,OK,2026-02-12,8.489999771118164,8.15999984741211,MOMENTUM_PRESENT_WAIT_CONFIRMATION,close location below 50.0% | average dollar volume below 5000000,Actionable Momentum Candidate,91,8,3,OK,True,OBSERVE_CONTINUED,Momentum is present but not active; continuation is observed but not required.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
ILMN,2026-02-10,REJECT,distribution cluster,Avoid,40,Wait - Last Hour Bearish,distribution cluster,119.31999969482422,15,5,OK,2026-02-11,118.29000091552734,116.37999725341797,REJECT,below EMA200 | distribution cluster,Avoid,20,13,5,OK,2026-02-12,118.1500015258789,114.44000244140625,REJECT,below EMA200 | distribution cluster,Avoid,20,12,4,OK,False,PASS_REJECT,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
KRT,2026-02-10,REJECT,weekly mixed | not outperforming benchmark SPY,Avoid,32,Clean,weekly mixed | not outperforming benchmark SPY,26.0,9,3,OK,2026-02-11,26.190000534057617,26.139999389648438,REJECT,weekly mixed | not outperforming benchmark SPY,Avoid,32,9,4,OK,2026-02-12,26.18000030517578,25.719999313354492,REJECT,weekly mixed | not outperforming benchmark SPY,Avoid,20,9,4,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
BATRA,2026-02-10,REJECT,weekly downtrend | not outperforming benchmark SPY,Avoid,25,Clean,weekly downtrend | not outperforming benchmark SPY,45.56999969482422,11,4,OK,2026-02-11,45.81999969482422,45.52000045776367,REJECT,weekly downtrend | not outperforming benchmark SPY,Avoid,25,11,4,OK,2026-02-12,45.79999923706055,45.77000045776367,REJECT,weekly downtrend | not outperforming benchmark SPY,Avoid,25,10,4,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
DOC,2026-02-10,REJECT,below EMA200 | weekly downtrend | not outperforming benchmark SPY | distribution cluster,Avoid,0,Clean,below EMA200 | weekly downtrend | not outperforming benchmark SPY | distribution cluster,17.0,16,5,OK,2026-02-11,17.18000030517578,16.959999084472656,REJECT,below EMA200 | weekly downtrend | not outperforming benchmark SPY | distribution cluster,Avoid,0,15,5,OK,2026-02-12,17.0,16.280000686645508,REJECT,below EMA200 | weekly downtrend | not outperforming benchmark SPY | distribution cluster,Avoid,0,16,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
