Ticker,D_Date,D_Final_Decision,D_Final_Decision_Reason,D_Action_Status,D_Score,D_Entry_Timing_Status,D_Classification_Reason,D_Close,D_1H_Bars,D_4H_Bars,D_Intraday_Data_Status,D1_Date,D1_Open,D1_Close,D1_Final_Decision,D1_Final_Decision_Reason,D1_Action_Status,D1_Score,D1_1H_Bars,D1_4H_Bars,D1_Intraday_Data_Status,D2_Date,D2_Open,D2_Close,D2_Final_Decision,D2_Final_Decision_Reason,D2_Action_Status,D2_Score,D2_1H_Bars,D2_4H_Bars,D2_Intraday_Data_Status,Continuation_By_D2,Validation_Result,Validation_Note,Status_String_Check,Reason_String_Check,Daily_Replay_Limitation
CSX,2026-04-23,MOMENTUM_ACTIVE,all confirmation gates passed,Actionable Momentum Candidate,100,Clean,,46.18000030517578,17,5,OK,2026-04-24,45.86000061035156,45.40999984741211,MOMENTUM_PRESENT_WAIT_CONFIRMATION,close location below 50.0%,Actionable Momentum Candidate,87,17,5,OK,2026-04-27,45.33000183105469,45.459999084472656,MOMENTUM_PRESENT_WAIT_CONFIRMATION,relative volume below 1.0x,Actionable Momentum Candidate,100,17,5,OK,False,FLAG_REVIEW,Active momentum requires D+1/D+2 continuation above D close.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
FVR,2026-04-23,MOMENTUM_PRESENT_WAIT_CONFIRMATION,close location below 50.0% | average dollar volume below 5000000,Actionable Momentum Candidate,100,Clean,,17.3799991607666,11,5,OK,2026-04-24,17.299999237060547,17.709999084472656,MOMENTUM_PRESENT_WAIT_CONFIRMATION,average dollar volume below 5000000,Actionable Momentum Candidate,100,14,5,OK,2026-04-27,17.59000015258789,17.360000610351562,MOMENTUM_PRESENT_WAIT_CONFIRMATION,relative volume below 1.0x | close location below 50.0% | average dollar volume below 5000000,Actionable Momentum Candidate,99,13,5,OK,True,OBSERVE_CONTINUED,Momentum is present but not active; continuation is observed but not required.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
BATRA,2026-04-23,MOMENTUM_PRESENT_WAIT_CONFIRMATION,close location below 50.0% | average dollar volume below 5000000,Actionable Momentum Candidate,97,Clean,pullback on above-average volume,53.11000061035156,11,4,OK,2026-04-24,53.2400016784668,53.65999984741211,MOMENTUM_PRESENT_WAIT_CONFIRMATION,average dollar volume below 5000000,Actionable Momentum Candidate,100,11,5,OK,2026-04-27,53.880001068115234,53.529998779296875,MOMENTUM_PRESENT_WAIT_CONFIRMATION,relative volume below 1.0x | close location below 50.0% | average dollar volume below 5000000,Actionable Momentum Candidate,100,9,4,OK,True,OBSERVE_CONTINUED,Momentum is present but not active; continuation is observed but not required.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
KRT,2026-04-23,MOMENTUM_PRESENT_WAIT_CONFIRMATION,average dollar volume below 5000000,Actionable Momentum Candidate,87,Clean,,28.90999984741211,9,3,OK,2026-04-24,28.889999389648438,29.209999084472656,MOMENTUM_PRESENT_WAIT_CONFIRMATION,relative volume below 1.0x | average dollar volume below 5000000,Actionable Momentum Candidate,87,9,4,OK,2026-04-27,29.3799991607666,29.270000457763672,MOMENTUM_PRESENT_WAIT_CONFIRMATION,relative volume below 1.0x | close location below 50.0% | average dollar volume below 5000000,Actionable Momentum Candidate,95,10,5,OK,True,OBSERVE_CONTINUED,Momentum is present but not active; continuation is observed but not required.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
ILMN,2026-04-23,REJECT,below EMA20 with deep 20D-high pullback | lower high and lower low | daily distribution | daily distribution below EMA20,Avoid,60,Wait - Daily Pullback Risk,below EMA20 with deep 20D-high pullback | lower high and lower low | daily distribution | daily distribution below EMA20,125.44000244140625,16,5,OK,2026-04-24,124.6500015258789,127.87999725341797,MOMENTUM_PRESENT_WAIT_CONFIRMATION,below EMA20 with early 20D-high pullback,Watchlist Candidate,73,14,5,OK,2026-04-27,126.93000030517578,128.52000427246094,MOMENTUM_PRESENT_WAIT_CONFIRMATION,last 1H bearish,Downgraded - Wait,69,14,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
ACA,2026-04-23,REJECT,distribution cluster,Avoid,40,Clean,distribution cluster,120.19000244140625,14,5,OK,2026-04-24,120.0,119.44000244140625,REJECT,distribution cluster,Avoid,40,15,5,OK,2026-04-27,119.2300033569336,120.44000244140625,REJECT,distribution cluster,Avoid,40,10,3,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
VMD,2026-04-23,REJECT,distribution cluster,Avoid,40,Clean,distribution cluster,9.489999771118164,8,3,OK,2026-04-24,9.460000038146973,9.65999984741211,REJECT,distribution cluster,Avoid,40,8,3,OK,2026-04-27,9.600000381469727,9.880000114440918,MOMENTUM_PRESENT_WAIT_CONFIRMATION,average dollar volume below 5000000,Actionable Momentum Candidate,100,12,4,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
DOC,2026-04-23,REJECT,below EMA200 | weekly downtrend | not outperforming benchmark SPY,Avoid,19,Wait - Last Hour Bearish,below EMA200 | weekly downtrend | not outperforming benchmark SPY,16.40999984741211,17,5,OK,2026-04-24,16.399999618530273,16.43000030517578,REJECT,below EMA200 | weekly downtrend | not outperforming benchmark SPY,Avoid,19,17,5,OK,2026-04-27,16.469999313354492,16.200000762939453,REJECT,below EMA200 | weekly downtrend | not outperforming benchmark SPY,Avoid,19,17,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.
