Ticker,Signal_Date,Long_Term_Status,Score,Weekly_Trend,Signal_Close,Next_Open,D_Minus_1_Close,D_Plus_1_Close,D_Plus_2_Close,D_Minus_1_Lt_D,D_Lt_D_Plus_1,D_Lt_D_Plus_2,D1_D2_Confirmation,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Trend_Score,RS_126D_Excess_Pct,RS_Slope_Pct_50D,Distance_From_52W_High_Pct,Net_Accumulation_50,Distribution_Days_50,ATR_Pct,Forward_21D_Return_Pct,Forward_63D_Return_Pct,Forward_126D_Return_Pct,Forward_252D_Return_Pct
MSFT,2025-06-06,Momentum Candidate,96,Uptrend,470.3800048828125,469.70001220703125,467.67999267578125,472.75,470.9200134277344,True,True,True,True,25,21,20,5,10,15,6.5614584384600105,10.253799027505629,0.6253415046222197,0.0,3.0,1.2892310930246982,7.198210917586945,6.0677026313207705,2.865657037527458,-14.113265237835037
MSFT,2025-09-12,Watchlist Candidate,76,Uptrend,509.8999938964844,508.7900085449219,501.010009765625,515.3599853515625,509.0400085449219,True,True,False,False,30,8,8,5,10,15,9.356263795902038,-2.5164394585871164,8.20056122234257,-1.0,4.0,1.438798275847873,1.0338212542911007,-4.976514259120557,-21.39192879379843,
NVDA,2024-11-01,Momentum Candidate,88,Uptrend,135.39999389648438,137.2100067138672,132.75999450683594,136.0500030517578,139.91000366210938,True,True,True,True,30,25,8,0,10,15,40.56699761081255,6.598904051277166,6.245675382095741,-3.0,7.0,3.469613419414931,2.222861047830915,-9.022669103594838,-14.685524502082082,42.270969435160154
NVDA,2025-07-11,Momentum Candidate,100,Uptrend,164.9199981689453,165.3699951171875,164.10000610351562,164.07000732421875,170.6999969482422,True,False,True,False,30,21,20,11,10,15,10.108261201715418,29.80115159920831,1.769016160283723,1.0,3.0,2.285523927547107,10.09252157840308,16.44797303631549,11.785696358854402,
NVDA,2025-10-09,Momentum Candidate,87,Uptrend,192.57000732421875,193.50999450683594,189.11000061035156,183.16000366210938,188.32000732421875,True,False,False,False,30,12,20,0,10,15,37.38198096891641,-0.08821182422212859,1.3978472528828212,0.0,7.0,2.9080336713700756,-2.769883087440328,-4.470050200005982,-2.1704289532672227,
NVDA,2026-02-19,Watchlist Candidate,76,Uptrend,187.89999389648438,186.57000732421875,187.97999572753906,189.82000732421875,191.5500030517578,False,True,True,False,30,17,4,0,10,15,0.9743623159939041,6.766710891793926,11.447291703401188,-1.0,7.0,3.7478147494548053,-7.434212269646023,19.778095325021926,,
NVDA,2026-05-20,Momentum Candidate,86,Uptrend,223.47000122070312,222.2899932861328,220.61000061035156,219.50999450683594,215.3300018310547,True,False,False,False,30,17,8,6,10,15,1.6211364771185437,3.073288977350974,5.52548931952469,2.0,7.0,3.617935351600623,-6.136128391569551,,,
AAPL,2024-09-11,Momentum Candidate,93,Uptrend,222.66000366210938,222.5,220.11000061035156,222.77000427246094,222.5,True,True,False,False,30,25,8,5,10,15,22.908396026582366,5.642155248371883,6.1417157728078635,-1.0,1.0,2.147412497608074,2.939322825228241,11.35730529099368,-4.049435733409412,6.382021100333568
AAPL,2024-12-10,Momentum Candidate,88,Uptrend,247.77000427246094,247.9600067138672,246.75,246.49000549316406,247.9600067138672,True,False,True,False,30,8,20,5,10,15,8.374424567209072,-0.3055953339786477,0.17727022662445607,-1.0,4.0,1.3477360684119213,-5.4686289926707214,-13.901435831335373,-20.773515232666064,12.227775142955766
AAPL,2025-10-31,Watchlist Candidate,84,Uptrend,270.3699951171875,270.4200134277344,271.3999938964844,269.04998779296875,270.0400085449219,False,False,False,False,30,4,14,11,10,15,2.9740927861755964,7.645139267873335,2.506134438005366,2.0,3.0,1.9948876255095667,5.83166490296998,-0.3476083110458994,5.08837311027055,
AAPL,2026-02-03,Watchlist Candidate,75,Uptrend,269.4800109863281,272.2900085449219,270.010009765625,276.489990234375,275.9100036621094,False,True,True,False,30,12,8,0,10,15,23.22759985200846,-2.36732509600428,6.631551678561988,0.0,6.0,2.373885954995294,-4.407065857512094,4.36666192578925,,
