Ticker,Long_Term_Status,Entry_Timing_Status,Classification_Reason,Close,Score,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Stage_Score,Weekly_Stage,Weekly_Close,Weekly_SMA_30,Weekly_SMA_30_Slope_Pct_10W,EMA_20,EMA_50,EMA_150,EMA_200,EMA_200_Slope_Pct_50D,Return_63D_Pct,Return_126D_Pct,Return_252D_Pct,Benchmark_Return_126D_Pct,RS_126D_Excess_Pct,RS_Ratio,RS_SMA_50,RS_SMA_200,RS_Slope_Pct_50D,Return_5D_Pct,Return_10D_Pct,High_20D,High_55D,High_100D,High_252D,Distance_From_20D_High_Pct,Distance_From_52W_High_Pct,Lower_High_Day,Lower_Low_Day,Close_Below_EMA20,ATR_14,ATR_Pct,Volume,Volume_Avg_50,Accumulation_Days_50,Distribution_Days_50,Net_Accumulation_50,Latest_Distribution_Day,Daily_Change_Pct,Last_3H_Return_Pct,Bearish_1H_Candles_Last3,Last_1H_Bearish
ALOT,Momentum Candidate,Clean,pullback on above-average volume | last 1H bearish,28.469999313354492,100,30,25,20,15,7,15,Stage 2,28.469999313354492,11.9793332417806,30.04523154602452,22.044992811142063,17.601374328290287,13.272607691046593,12.586507215363975,30.346344699073114,214.58562114176834,245.09090076793325,209.12051243685534,5.96400473156411,239.12689603636915,0.03905403324427158,0.02255315647257659,0.015815552369064702,127.79566770285173,-0.35001883982463955,67.47058419620289,28.68000030517578,28.68000030517578,28.68000030517578,28.68000030517578,-0.7322210236636262,0.7322210236636256,False,False,False,1.4514286858694894,5.098098773710417,189800,134614.0,14.0,3.0,11.0,False,0.035137839787524605,0.0,1,True
ATEN,Momentum Candidate,Clean,lower high and lower low,34.97999954223633,100,30,25,20,15,7,15,Stage 2,34.97999954223633,23.301666450500488,21.470399267342664,32.44959763550283,29.75662467881914,24.739614413911358,23.44102746021923,22.062147101577146,50.905949446539765,94.33333079020183,84.49367738041347,5.96400473156411,88.36932605863771,0.04798419732895102,0.0403226931014327,0.03112161718777184,31.65840413262533,5.171380960622485,7.103489607052316,35.189998626708984,35.189998626708984,35.189998626708984,35.189998626708984,-0.5967578649271887,0.5967578649271906,True,True,False,1.406428609575544,4.020665031391332,2202200,1190520.0,14.0,5.0,9.0,False,0.6908401041278323,1.0410548773626793,0,False
CREX,Momentum Candidate,Clean,last 1H bearish,4.099999904632568,100,30,25,8,15,7,15,Stage 2,4.099999904632568,3.4679999987284345,11.571044964976762,3.857743915210962,3.7720178589975037,3.4738987387689946,3.371522498631377,9.162568797220928,16.147307021602806,54.13532978711104,25.382260811845157,5.96400473156411,48.17132505554693,0.005624219755492653,0.005185489195849039,0.004649338082041217,4.419533403368137,4.060909773818233,6.493506654355596,4.139999866485596,4.420000076293945,4.420000076293945,4.420000076293945,-0.9661826846140142,7.239822763299333,False,False,False,0.19000004019056047,4.634147429512874,69400,34064.0,11.0,4.0,7.0,False,4.060909773818233,0.49019562011036744,1,True
EXTR,Momentum Candidate,Clean,,31.739999771118164,100,30,25,20,15,7,15,Stage 2,31.739999771118164,19.18366673787435,14.504288339139237,29.78224856807481,26.067420286200523,21.110763517886657,20.211789964595052,22.53949469054568,105.30400836223093,89.26654087492365,78.4148293292952,5.96400473156411,83.30253614335953,0.043539692171786264,0.03435429701465458,0.02769232654707292,75.64940389031038,1.1472295091762064,2.1564212516086867,32.290000915527344,32.290000915527344,32.290000915527344,32.290000915527344,-1.7033172152828846,1.7033172152828888,False,True,False,1.481428555079869,4.66738678564168,7147600,2725326.0,15.0,4.0,11.0,False,2.519382137309889,3.6203542592165183,1,False
FROG,Momentum Candidate,Clean,,87.58000183105469,100,30,25,20,15,7,15,Stage 2,87.58000183105469,58.55316696166992,12.074559684179299,79.05405050049053,70.6357824648401,59.31166681508892,56.65432409331246,17.33526251250217,86.69793672123882,31.383133842875232,100.91764515824431,5.96400473156411,25.419129111311122,0.12013882632722728,0.09179978212681919,0.08091234747894155,96.15109047797252,5.87524243064832,11.595308466965193,89.16000366210938,89.16000366210938,89.16000366210938,89.16000366210938,-1.7720970908014277,1.7720970908014289,False,False,False,4.977142878941128,5.682967315463448,26088500,3000508.0,7.0,3.0,4.0,False,11.142129999068583,5.812685871412393,0,False
FTNT,Momentum Candidate,Clean,2+ bearish hourly candles | last 1H bearish,151.35000610351562,100,30,25,20,15,10,15,Stage 2,151.35000610351562,96.26299896240235,17.67517450547387,142.49248568089996,126.18000928144565,103.68972516924414,99.86520089191414,18.929817924058767,86.7826834303069,87.63947338451882,45.96393339757261,5.96400473156411,81.67546865295472,0.20761602783442282,0.16417876400506906,0.13191798768920232,82.46956823581972,4.5740417131214794,4.336142734582049,152.77000427246094,152.77000427246094,152.77000427246094,152.77000427246094,-0.9295006409849815,0.9295006409849845,False,False,False,5.957145690917969,3.9360062442571606,9197400,6460500.0,8.0,5.0,3.0,False,0.9471176529736169,-0.29663609577772476,2,True
GEF-B,Momentum Candidate,Clean,,93.19999694824219,100,30,25,20,15,10,15,Stage 2,93.19999694824219,82.82833302815756,8.797593115633262,85.53591642588532,83.96559601065412,80.64896073993502,78.80735720267415,3.715138564887477,9.892700897499651,26.04813885703956,33.83112832435751,5.96400473156411,20.08413412547545,0.12784811615626956,0.11321409629743882,0.1113351528869809,2.692232455051813,7.435154983564485,11.911621414926564,94.20999908447266,94.20999908447266,94.20999908447266,94.20999908447266,-1.0720753062791744,1.0720753062791755,False,False,False,3.592857905796596,3.8549978792293937,195000,64470.0,8.0,5.0,3.0,False,2.1593702935656767,1.0068525032211229,1,False
KORE,Momentum Candidate,Clean,2+ bearish hourly candles,9.789999961853027,100,30,25,20,11,10,15,Stage 2,9.789999961853027,7.375999863942464,35.04952572693008,9.247149154602187,9.032367070474258,7.428592748803151,6.773346328916429,30.0820593555456,8.777777353922534,124.54127665270822,315.0063627137998,5.96400473156411,118.5772719211441,0.013429539627430933,0.012508104629971782,0.008802308315362531,2.7308458087218046,6.413045269780482,6.413045269780482,9.789999961853027,9.789999961853027,9.789999961853027,9.789999961853027,0.0,0.0,False,False,False,0.06607130595615932,0.674885661017444,894700,46080.0,1.0,0.0,1.0,False,6.413045269780482,5.582648979428972,2,False
KTCC,Momentum Candidate,Clean,,4.130000114440918,100,30,25,20,15,3,15,Stage 2,4.130000114440918,3.0050000031789144,3.955258664061634,3.728061392143688,3.448217502271991,3.146416673823556,3.1321003372915937,6.0110544147426115,49.09747808227456,56.43939205793427,51.282054417075315,5.96400473156411,50.47538732637016,0.005665372871735998,0.004559603824112381,0.004402671819176469,44.72339736760846,9.840428854152062,15.041788668024436,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,-1.6666594762647535,1.6666594762647484,False,False,False,0.3057143177304949,7.402283517173212,69200,20992.0,13.0,5.0,8.0,False,11.021507598855095,2.2556369412079613,0,False
MEI,Momentum Candidate,Clean,,19.15999984741211,100,30,25,20,15,3,15,Stage 2,19.15999984741211,8.616666666666667,20.952648713511103,13.255671349913657,11.24695013019086,9.133111476958463,8.884564732781573,18.914436108508227,233.79792005949332,182.17967533218135,107.58397397243913,5.96400473156411,176.21567060061724,0.026282939552094597,0.014597269620279298,0.011663897964312862,159.10536649806423,36.66190600444759,67.77582941689413,19.350000381469727,19.350000381469727,19.350000381469727,19.350000381469727,-0.9819148853328685,0.9819148853328639,False,False,False,1.4764285768781389,7.7057859532162585,3063300,1000324.0,10.0,3.0,7.0,False,6.444443596733951,4.975395308152031,1,False
