Ticker,Final_Decision,Final_Decision_Rank,Final_Decision_Reason,Action_Status,Score,Action_Rank,Long_Term_Status,Entry_Timing_Status,Classification_Reason,Market_State,Live_Price,Regular_Market_Price,PreMarket_Price,PostMarket_Price,Extended_Hours_Change_Pct,Close,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Trend_Score,Weekly_Trend,Weekly_Close,Weekly_SMA_30,Weekly_SMA_30_Slope_Pct_10W,EMA_20,EMA_50,EMA_150,EMA_200,EMA_200_Slope_Pct_50D,Return_63D_Pct,Return_126D_Pct,Return_252D_Pct,Benchmark_Return_126D_Pct,RS_126D_Excess_Pct,RS_Ratio,RS_SMA_50,RS_SMA_200,RS_Slope_Pct_50D,Return_5D_Pct,Return_10D_Pct,High_20D,High_55D,High_100D,High_252D,Distance_From_20D_High_Pct,Distance_From_52W_High_Pct,Lower_High_Day,Lower_Low_Day,Close_Below_EMA20,ATR_14,ATR_Pct,Volume,Volume_Avg_20,Volume_Avg_50,Relative_Volume_20,Close_Location_Pct,Extension_Risk,Accumulation_Days_50,Distribution_Days_50,Net_Accumulation_50,Latest_Distribution_Day,Daily_Change_Pct,Last_3H_Return_Pct,Bearish_1H_Candles_Last3,Last_1H_Bearish
ZENSARTECH.BO,REJECT,3,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,0,5,Avoid,Wait - Intraday Selling,below EMA200 | weekly downtrend | not outperforming SPY,POSTPOST,466.7,466.7,,,-2.615605521061326e-06,466.70001220703125,0,0,0,0,10,-10,Downtrend,445.54998779296875,585.0583333333333,-13.428577534663122,465.2999199121678,494.7831749532621,580.1509249028165,607.9798181739178,-10.746746751502844,-14.37482384013884,-36.33014840286067,-46.1675984040956,10.626931512356808,-46.95707991521748,0.6236320453218827,0.682065181338361,0.9391149139815524,-22.47490901542495,4.197369628652381,3.081173320161512,529.0,610.7999877929688,704.9500122070312,883.3499755859375,-11.776935310580106,47.16703174215146,False,True,False,17.12500217982701,3.669381129613137,2041216,176149.1,94270.74,11.58800130117043,69.53128678725486,False,5.0,6.0,-1.0,False,4.746947591409234,-1.5296971860469188,2,False
ZENT.NS,REJECT,3,no market data - check symbol,Avoid,,5,Avoid,No data,no market data - check symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZENT:IN,REJECT,3,no market data - check symbol,Avoid,,5,Avoid,No data,no market data - check symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZENSARTECH.NS,REJECT,3,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,Avoid,0,5,Avoid,Wait - Intraday Selling,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,POSTPOST,467.35,467.35,,,-1.305983854393844e-06,467.3500061035156,0,0,0,-5,10,-10,Downtrend,445.3999938964844,585.063330078125,-13.427624191554555,455.14788860656813,484.6277499724051,570.1627417367026,598.8348666446667,-11.371371123627549,-14.042671397705043,-32.64393996571792,-44.67593890458531,8.92970416060026,-41.57364412631818,0.6245006054515351,0.6560104137583386,0.920228603295521,-21.853317587802078,4.9281572761163295,0.9940585853086104,488.1000061035156,611.0,644.0,881.0,-4.251177984127985,46.95232620845452,False,False,False,16.707142421177455,3.574867273560473,39264785,2509458.85,1395295.98,15.646714031592907,71.44204074917364,False,4.0,10.0,-6.0,False,9.69370249826551,-1.3300935024070926,2,False
