Ticker,Signals,Momentum_Candidates,Watchlist_Candidates,Avg_Score,D1_D2_Confirm_Rate_Pct,Avg_Fwd_21D_Return_Pct,Avg_Fwd_63D_Return_Pct,Avg_Fwd_126D_Return_Pct,Avg_Fwd_252D_Return_Pct
MSFT,2,1,1,86.0,50.0,4.116016085939023,0.5455941861001068,-9.263135878135486,-14.113265237835037
NVDA,5,4,1,87.4,20.0,-0.8049682244843815,5.683337264434149,-1.6900856988316342,42.270969435160154
AAPL,4,2,2,85.0,0.0,-0.2761767804961486,0.3687307686004142,-6.5781926186016415,9.304898121644667
