Ticker,Status,Gate_Status,Close,EMA_50,EMA_150,EMA_200,EMA_200_Slope_Pct_50D,Return_63D_Pct,Return_126D_Pct,Return_252D_Pct,High_252D,Distance_From_52W_High_Pct,Low_50D,Volume,Volume_Avg_20,Volume_Avg_50,Volume_Ratio_20_50,ADX,ATR,ATR_Pct,OBV,OBV_EMA_50,Trend_Score,Relative_Strength_Score,High_Proximity_Score,Volume_Score,ADX_Score,Risk_Quality_Score,Raw_Mo_Score,Intraday_Risk_Flag,Intraday_Risk_Reason,Daily_Change_Pct,Last_3H_Return_Pct,Bearish_1H_Candles_Last3,Last_1H_Bearish,Intraday_Risk_Penalty,Final_Mo_Score,Stop_ATR_3x,Stop_50D_Low,Stop_EMA50_Buffer,Recommended_Stop,Stop_Distance_Pct,Risk_Per_Share,Position_Size
APH,Disqualified,Passed | Intraday distribution risk: Last 3H return <= -1.0% | 2+ bearish candles in last 3H | Last 1H candle bearish,163.72000122070312,146.97370904900708,138.09006482466455,133.45152017328797,6.1852981764382475,32.96516273264061,19.399071653103796,68.74871870282988,168.75,2.9807400173611107,118.01000213623047,11860000.0,9896590.0,10357564.0,0.9554939752242901,31.049138332641977,6.41465009892849,3.9180613554242565,569300700.0,511729960.79204667,30,21,15,5,10,10,91,True,Last 3H return <= -1.0% | 2+ bearish candles in last 3H | Last 1H candle bearish,-0.8658751005934384,-1.1968783263017868,2,True,25,66,144.47605092391765,118.01000213623047,144.03423486802694,144.47605092391765,11.75418406627277,19.24395029678547,5
DDOG,Passed,Passed,239.77000427246094,202.84340386912316,166.42588468157942,159.46170390232663,21.376056452724402,92.89621752673818,69.772719341453,84.09858273926885,278.7049865722656,13.9699625681829,122.59500122070312,9618400.0,6049030.0,6100412.0,0.9915772901895806,30.741666756155865,12.275815935570373,5.119829718825394,9471100.0,6094530.256137139,30,25,10,5,10,7,87,False,,8.522676574174671,3.164019545346819,1,False,0,87,202.94255646574982,122.59500122070312,198.7865357917407,202.94255646574982,15.359489156476183,36.82744780671112,2
FCEL,Disqualified,Passed | Intraday distribution risk: Last 3H return <= -1.0% | 2+ bearish candles in last 3H,24.0,17.67016743384795,12.647239639608632,11.721413757241125,53.38171442355488,248.83720349981834,173.03754384704843,313.79308984055723,27.690000534057617,13.326112180890211,7.059999942779541,27068400.0,12317055.0,11623076.0,1.0597070001090934,27.911400490164223,3.5287403107871436,14.703084628279765,145376584.0,114192187.11910373,30,25,10,10,10,1,86,True,Last 3H return <= -1.0% | 2+ bearish candles in last 3H,22.13740695123274,-3.05853423982555,2,False,25,61,13.413779067638568,7.059999942779541,17.31676408517099,17.31676408517099,27.846816311787535,6.683235914829009,14
