Ticker,Live_Price,Action_Rank,Action_Status,Long_Term_Status,Entry_Timing_Status,Classification_Reason,Market_State,Regular_Market_Price,PreMarket_Price,PostMarket_Price,Extended_Hours_Change_Pct,Close,Score,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Stage_Score,Weekly_Stage,Weekly_Close,Weekly_SMA_30,Weekly_SMA_30_Slope_Pct_10W,EMA_20,EMA_50,EMA_150,EMA_200,EMA_200_Slope_Pct_50D,Return_63D_Pct,Return_126D_Pct,Return_252D_Pct,Benchmark_Return_126D_Pct,RS_126D_Excess_Pct,RS_Ratio,RS_SMA_50,RS_SMA_200,RS_Slope_Pct_50D,Return_5D_Pct,Return_10D_Pct,High_20D,High_55D,High_100D,High_252D,Distance_From_20D_High_Pct,Distance_From_52W_High_Pct,Lower_High_Day,Lower_Low_Day,Close_Below_EMA20,ATR_14,ATR_Pct,Volume,Volume_Avg_50,Accumulation_Days_50,Distribution_Days_50,Net_Accumulation_50,Latest_Distribution_Day,Daily_Change_Pct,Last_3H_Return_Pct,Bearish_1H_Candles_Last3,Last_1H_Bearish
MATW,27.06,5,Avoid,Avoid,Clean,not outperforming SPY,REGULAR,27.06,,,,27.05999947,69,30,0,4,10,10,15,Stage 2,27.25,26.48166676,4.165574076,26.41455201,26.53958951,26.15751006,25.9558486,2.370654401,7.380947011,1.652887351,13.88888554,7.055537766,-5.402650415,0.036612589,0.036735404,0.037345853,-4.64147075,3.598769512,0.894853743,27.56999969,30.93000031,30.93000031,30.93000031,-1.84983763,12.51212674,FALSE,FALSE,FALSE,0.963571548,3.560870538,120676,289283.52,9,6,3,FALSE,-0.697249666,-0.58780254,1,FALSE
NVMI,521.12,5,Avoid,Avoid,Clean,distribution cluster,REGULAR,521.12,,,,521.1199951,69,30,12,4,5,3,15,Stage 2,488.5799866,453.0996643,17.76571511,531.4965598,515.9143438,454.2613776,427.7633264,16.62045459,18.24287386,54.93845537,93.81136033,7.055537766,47.8829176,0.705083246,0.708277735,0.598392665,-3.790455536,-10.62939171,-10.62172952,615.9899902,615.9899902,615.9899902,615.9899902,-15.4012235,15.4012235,FALSE,TRUE,TRUE,41.5035662,7.964301233,213437,424542.74,17,12,5,FALSE,6.660119006,3.823242827,0,FALSE
SBXD,10.81,5,Avoid,Avoid,Clean,not outperforming SPY,REGULAR,10.81,,,,10.81000042,69,25,0,14,5,10,15,Stage 2,10.81000042,10.6875,0.820715895,10.8032625,10.78040755,10.69707269,10.65769415,0.793879393,0.933710375,2.367424148,-0.916585052,7.055537766,-4.688113618,0.014626094,0.014676266,0.015421649,-4.800137485,-0.184667629,0.185361055,10.98999977,11.07999992,11.07999992,11.19999981,-1.637846727,3.482137467,FALSE,FALSE,FALSE,0.039999826,0.370026125,15059,29715.18,0,0,0,FALSE,0,0,0,FALSE
CRSR,8.92,5,Avoid,Avoid,Clean,distribution cluster,REGULAR,8.92,,,,8.920000076,69,22,25,0,0,7,15,Stage 2,8.609999657,6.616666651,5.143280928,8.80003928,8.181657631,7.306666102,7.314212902,9.068394562,67.66916896,44.33657482,-5.807816,7.055537766,37.28103706,0.012068895,0.011019236,0.009915326,32.5236441,-3.463200246,5.812571214,11.76500034,13.10000038,13.10000038,13.10000038,-24.18189702,31.90839835,FALSE,FALSE,FALSE,0.545735768,6.118113938,676554,2743813.08,9,9,0,FALSE,3.600469593,2.170549799,1,FALSE
NYAX,63.25,5,Avoid,Avoid,Clean,,REGULAR,63.25,,,,63.25,68,22,12,4,5,10,15,Stage 2,63.65999985,59.37996635,15.11404028,66.03583313,65.73223329,59.67165574,57.05921656,13.52969962,17.06459639,30.0637438,30.33175683,7.055537766,23.00820604,0.085578208,0.092040501,0.079628906,-7.499341857,-0.565949704,-6.765914778,73.97000122,76.86000061,76.86000061,76.86000061,-14.49236318,17.70752082,FALSE,TRUE,TRUE,2.363928659,3.737436614,14904,29802.08,4,5,-1,FALSE,-0.644046259,-0.464235073,0,FALSE
ENS,222.56,5,Avoid,Avoid,Clean,distribution cluster,REGULAR,222.56,,,,222.5599976,67,30,12,8,-5,7,15,Stage 2,221.8999939,186.1483322,21.6724696,225.9353047,218.9064415,187.6634009,176.0079082,21.61855678,29.87104155,48.60118262,157.9508585,7.055537766,41.54564485,0.301127047,0.303704196,0.24195023,8.979157561,-4.456085161,-0.758047351,241.4199982,244.3000031,244.3000031,244.3000031,-7.812111985,8.898896939,TRUE,FALSE,TRUE,10.44474901,4.693003742,209764,494295.28,9,12,-3,FALSE,0.297432934,0.851914512,1,FALSE
MKTW,17.45,5,Avoid,Avoid,Clean,,REGULAR,17.45,,,,17.45000076,67,30,8,4,0,10,15,Stage 2,16.95999908,16.33399992,3.432117595,16.99387455,16.98359824,16.57949633,16.54495414,2.541224805,-8.782009783,22.88733097,-11.86867962,7.055537766,15.8317932,0.023610115,0.023414203,0.023422929,-1.273705598,6.989585128,3.254444715,17.89999962,21.42099953,21.42099953,21.73999977,-2.513960141,19.73320632,FALSE,FALSE,FALSE,0.608214378,3.485469065,5946,25294.92,5,6,-1,FALSE,2.889160996,2.286056912,0,FALSE
WYY,16.495,5,Avoid,Avoid,Clean,distribution cluster,REGULAR,16.495,,,,16.49500084,67,30,25,0,-3,0,15,Stage 2,16.71999931,7.223666652,25.97953702,13.87080308,11.03523,7.95083732,7.30932538,41.56073124,257.034659,189.3859893,393.8623133,7.055537766,182.3304516,0.022317986,0.01375377,0.009820042,202.3096128,20.31364547,38.49707011,24.29999924,24.29999924,24.29999924,24.29999924,-32.11933598,32.11933598,TRUE,TRUE,FALSE,2.110000134,12.79175524,715102,319604.04,24,12,12,TRUE,-1.345684709,10.18704439,0,FALSE
DYNC,10.795,5,Avoid,Avoid,Clean,not outperforming SPY,REGULAR,10.795,,,,10.79500008,67,25,0,12,5,10,15,Stage 2,10.77000046,10.5280001,1.21779295,10.7882279,10.74401456,10.59444377,10.54216407,1.487220975,3.104105071,4.907678487,6.041254938,7.055537766,-2.147859279,0.014605799,0.014668937,0.015230167,-4.932240221,-0.046297355,-0.046297355,10.84000015,10.88000011,10.88000011,15.23999977,-0.415129849,29.1666651,FALSE,FALSE,FALSE,0.027857304,0.258057466,21759,116053.18,0,0,0,FALSE,0.232122725,0.139149756,1,FALSE
RDCM,13.82,5,Avoid,Avoid,Clean,not outperforming SPY,REGULAR,13.82,,,,13.81999969,66,30,0,4,10,7,15,Stage 2,13.43000031,13.06933333,2.448328737,13.31482373,13.62345569,13.30041733,13.17917636,5.59781717,13.27868779,3.134329017,3.134329017,7.055537766,-3.921208749,0.018698669,0.019565779,0.019129276,0.923903952,8.137715052,7.968746007,15.77999973,16.73999977,16.73999977,16.73999977,-12.42078626,17.4432504,FALSE,FALSE,FALSE,0.632857323,4.579286083,207156,261625.12,10,6,4,FALSE,2.903941778,-0.575539035,2,FALSE
