Ticker,Signal_Date,Long_Term_Status,Score,Weekly_Stage,Signal_Close,Next_Open,D_Minus_1_Close,D_Plus_1_Close,D_Plus_2_Close,D_Minus_1_Lt_D,D_Lt_D_Plus_1,D_Lt_D_Plus_2,D1_D2_Confirmation,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Stage_Score,RS_126D_Excess_Pct,RS_Slope_Pct_50D,Distance_From_52W_High_Pct,Net_Accumulation_50,Distribution_Days_50,ATR_Pct,Forward_21D_Return_Pct,Forward_63D_Return_Pct,Forward_126D_Return_Pct,Forward_252D_Return_Pct
ALGM,2023-02-17,Momentum Candidate,91,Stage 2,44.5,43.70000076293945,45.029998779296875,42.880001068115234,43.040000915527344,False,False,False,False,30,25,8,6,7,15,74.4097496749643,35.15246253364506,3.2293151911305573,1.0,7.0,4.349759072782905,6.521735524860861,-10.84668557371431,-11.37300030648517,-28.9473714073867
ALGM,2023-03-21,Momentum Candidate,100,Stage 2,46.54999923706055,46.779998779296875,46.560001373291016,45.7599983215332,47.369998931884766,False,False,True,False,30,25,14,10,7,15,105.8910194251652,50.45253035508148,2.369968667958607,4.0,7.0,4.208533072278557,-10.495938382933645,-11.97092479745735,-30.483109648656427,-40.7225304278789
ALGM,2023-07-06,Watchlist Candidate,77,Stage 2,43.70000076293945,43.9900016784668,44.560001373291016,43.97999954223633,45.84000015258789,False,True,True,False,30,12,4,6,10,15,33.594156699049414,-0.28360492319340347,10.303777364501517,1.0,7.0,3.250734310505203,-3.364408502985028,-29.71130053075367,-38.24732921339107,-28.620144531841095
ALGM,2025-06-17,Watchlist Candidate,76,Stage 2,30.71500015258789,30.780000686645508,31.190000534057617,31.06999969482422,30.959999084472656,False,True,True,False,12,25,14,0,10,15,43.061444907680844,21.824797737758605,7.651828915750812,-1.0,7.0,3.971534876584373,18.973353199998645,-0.09746811558235535,-14.749840202235964,91.68290670506151
ALGM,2025-07-18,Momentum Candidate,100,Stage 2,36.619998931884766,37.25,35.790000915527344,36.689998626708984,36.2400016784668,True,True,False,False,30,25,8,15,10,15,50.625083422751516,71.97578343424856,4.7594324960808825,6.0,2.0,3.052196902731809,-17.23489953367502,-21.261745171258916,-10.469802754037328,
ALGM,2025-08-22,Watchlist Candidate,72,Stage 2,32.130001068115234,32.0099983215332,30.8799991607666,31.760000228881836,31.649999618530273,True,False,False,False,30,8,4,5,10,15,13.181660352655976,-0.32713735566907154,16.43692995948087,0.0,5.0,3.5658713017761268,-1.8744095769523184,-28.772257317730222,21.961896165627227,
ALGM,2026-01-29,Watchlist Candidate,74,Stage 2,37.97999954223633,37.13999938964844,34.54999923706055,36.90999984741211,37.43000030517578,True,False,False,False,25,4,8,15,7,15,2.743978928462276,48.8064532130559,4.788167151257865,8.0,4.0,4.59715865170581,-1.4808811149680357,30.586970374366217,,
ALGM,2026-03-02,Momentum Candidate,87,Stage 2,36.59000015258789,34.959999084472656,36.470001220703125,34.720001220703125,34.06999969482422,True,False,False,False,30,21,4,10,7,15,8.53536323976063,37.91788068184394,16.57546820929102,11.0,6.0,5.387890131655385,-9.811208488705503,34.811219400311245,,
ALGM,2026-04-07,Watchlist Candidate,75,Stage 2,33.279998779296875,36.33000183105469,32.810001373291016,35.869998931884766,37.02000045776367,True,True,True,True,30,8,0,15,7,15,19.00693381102956,5.471414093520766,24.122210861432734,3.0,5.0,5.57885495019213,41.39828335481659,,,
ALGM,2026-05-06,Momentum Candidate,100,Stage 2,51.369998931884766,43.900001525878906,49.68000030517578,47.93000030517578,48.95000076293945,True,False,False,False,30,25,20,15,7,15,70.11646948769577,23.248654450839435,0.05837080370325456,4.0,2.0,4.277509063632417,5.671976713489824,,,
ALGM,2026-06-05,Momentum Candidate,87,Stage 2,46.38999938964844,47.869998931884766,53.619998931884766,48.189998626708984,46.630001068115234,False,True,True,False,30,25,4,10,3,15,52.672744173449715,26.608304227848212,14.724268219771997,4.0,7.0,7.902719403538424,,,,
APH,2019-11-04,Momentum Candidate,85,Stage 2,26.049999237060547,26.0674991607666,25.69499969482422,26.102500915527344,25.72249984741211,True,True,False,False,25,4,20,11,10,15,1.4856079634327548,13.074477776118565,1.2415933669462471,1.0,3.0,1.525911376389883,-1.227581107227349,0.34525810102776777,-17.445090052394562,11.72916826572743
APH,2019-12-04,Momentum Candidate,100,Stage 2,25.747499465942383,25.84000015258789,25.44499969482422,25.7450008392334,26.00749969482422,True,False,True,False,30,17,20,11,10,15,2.6699336318933184,4.268225266016645,2.388403204851806,1.0,3.0,1.369064838002223,4.034440929103167,-10.448919299518833,3.5216712153191443,27.41872694518188
APH,2020-01-06,Momentum Candidate,90,Stage 2,26.88249969482422,27.0049991607666,27.022499084472656,27.02750015258789,27.092500686645508,False,True,True,False,30,4,20,11,10,15,1.1835721957345058,-1.923718092190041,1.6373956462900463,1.0,1.0,1.1312456970563032,-3.1383072532858103,-30.253657952944813,-10.923899082643329,21.03315085740285
APH,2020-09-18,Momentum Candidate,99,Stage 2,27.217500686645508,26.802499771118164,27.469999313354492,25.872499465942383,26.155000686645508,False,False,False,False,30,21,8,15,10,15,10.924895059952462,9.549094469072351,3.8675472436361753,4.0,2.0,2.5082330914770576,5.49388997290039,23.28140966105805,20.71635040960407,38.41991900359722
APH,2020-10-19,Momentum Candidate,86,Stage 2,28.274999618530273,28.655000686645508,28.790000915527344,28.649999618530273,28.735000610351562,False,True,True,False,30,25,14,-8,10,15,21.77584813543836,2.4820763207347607,2.5839793621260947,-1.0,6.0,2.2079074892969,10.853249445051748,16.864416104052648,18.181821207386605,35.805269527225825
APH,2020-11-17,Momentum Candidate,100,Stage 2,31.764999389648438,31.850000381469727,31.56999969482422,31.450000762939453,31.799999237060547,True,False,True,False,30,21,20,10,10,15,18.238272334595827,11.747976697995345,1.151389298927813,7.0,6.0,2.9322478151462743,3.744110350028107,3.9481876684911876,4.5368846787087636,33.2810055086743
APH,2020-12-17,Momentum Candidate,100,Stage 2,33.04249954223633,33.04499816894531,32.71500015258789,32.662498474121094,32.34000015258789,True,False,False,False,30,21,14,15,10,15,15.609080254619133,7.044597857726043,2.5869654306537035,7.0,3.0,1.6607397482282453,1.3390863750480708,-2.0880576938794415,1.422306693134634,24.799527806368292
APH,2021-01-20,Momentum Candidate,88,Stage 2,33.48749923706055,33.584999084472656,33.087501525878906,33.275001525878906,33.060001373291016,True,False,False,False,30,8,14,11,10,15,13.078539317378254,2.300820563319883,2.354567648339953,1.0,3.0,1.9052917136677467,-1.4217684339557057,0.8337132696948357,4.436509510448872,16.882543213359757
APH,2021-02-19,Watchlist Candidate,71,Stage 2,33.10749816894531,32.79499816894531,32.685001373291016,32.497501373291016,31.84749984741211,True,False,False,False,30,8,8,0,10,15,5.682591940065173,-5.368818426004052,4.175111722051545,-2.0,6.0,2.0269470614916343,-1.3416638245939416,1.5246227410174562,13.005041751715595,15.078529610055224
APH,2021-08-03,Watchlist Candidate,84,Stage 2,36.915000915527344,36.900001525878906,36.34000015258789,36.775001525878906,36.84000015258789,True,False,False,False,30,4,20,5,10,15,0.6655316583997077,4.662472375894167,0.21624008289529706,0.0,4.0,1.630192726168709,3.4417251776418745,4.281837265641664,7.2086713751124964,4.607037609605347
APH,2021-09-01,Momentum Candidate,94,Stage 2,38.16999816894531,38.334999084472656,38.314998626708984,38.41999816894531,38.52000045776367,False,True,True,False,30,8,20,11,10,15,7.212277886372668,5.8674500833243215,1.1779982681027508,2.0,2.0,1.0872401704045722,-2.6868365824849305,4.330246216399369,-0.4043270718627867,-4.199819091697021
APH,2021-10-01,Momentum Candidate,85,Stage 2,37.30500030517578,37.084999084472656,36.6150016784668,36.77000045776367,37.29499816894531,True,False,False,False,30,17,8,5,10,15,1.552340373310912,6.839382254824478,3.9644764245922413,0.0,4.0,2.005667988421119,3.7616300180731477,17.91829748364726,1.8875577193489645,-6.444652686129149
APH,2021-11-01,Watchlist Candidate,76,Stage 2,38.47999954223633,38.459999084472656,38.3849983215332,38.91999816894531,39.185001373291016,True,True,True,True,30,8,8,5,10,15,5.7948669667512895,-0.40338365125192066,3.9440883097625488,-1.0,5.0,1.6418557210836533,3.991159344649664,2.8601204238261735,-6.435253596041601,-0.19500978867608154
APH,2021-12-01,Momentum Candidate,90,Stage 2,39.994998931884766,40.04999923706055,40.290000915527344,40.72999954223633,40.834999084472656,False,True,True,False,30,21,8,6,10,15,9.986239026349722,4.229846970177387,7.042422978582903,2.0,6.0,2.134195539099316,9.188515294078869,-4.6691609675596375,-10.137322436792463,0.9613037292500293
